IL1,IL2,IL3,PFL3
14.517,13.147,35.256,0.95
11.068,6.385,32.433,0.98
11.054,6.254,32.42,0.98
11.033,6.203,32.432,0.98
11.054,6.195,32.444,0.98
11.05,6.289,32.405,0.98
11.105,6.309,32.476,0.98
11.097,6.346,32.448,0.98
27.593,28.642,46.191,0.87
20.736,10.586,34.033,0.97
18.847,6.35,32.484,0.98
18.871,6.298,32.478,0.98
18.868,6.293,32.457,0.98
14.49,6.249,32.454,0.98
11.047,6.125,32.408,0.98
11.047,6.093,32.44,0.98
11.105,6.151,32.466,0.98
26.146,29.674,47.285,0.87
11.148,6.198,32.448,0.98
11.079,6.157,32.503,0.98
11.06,6.234,32.531,0.98
11.061,6.318,32.536,0.98
11.06,6.253,32.488,0.98
11.111,6.241,32.515,0.98
11.18,6.258,32.464,0.98
13.296,10.738,33.976,0.96
25.508,29.113,46.689,0.87
11.112,6.778,32.525,0.98
11.084,6.509,32.484,0.98
11.105,6.502,32.578,0.98
11.244,6.581,32.634,0.98
11.117,6.486,32.51,0.98
11.126,6.326,32.49,0.98
11.231,6.219,32.511,0.98
21.697,23.585,42.135,0.9
18.565,19.451,39.127,0.92
11.202,6.215,32.487,0.98
11.218,6.186,32.471,0.98
11.155,6.186,32.472,0.98
14.824,6.273,35.355,0.98
11.933,6.18,32.998,0.98
11.145,6.17,32.43,0.98
11.161,6.166,32.443,0.98
27.017,29.733,48.324,0.87
11.314,6.167,32.487,0.98
11.193,6.102,32.47,0.98
11.31,6.16,32.542,0.98
12.486,6.192,33.23,0.98
11.266,6.207,32.552,0.98
11.279,6.145,32.514,0.99
12.25,6.235,33.282,0.98
30.482,29.913,51.503,0.87
20.293,6.616,33.19,0.98
22.026,6.618,34.314,0.98
23.508,6.555,35.841,0.98
21.977,6.499,34.652,0.98
14.948,6.475,33.7,0.98
14.645,6.499,35.302,0.98
18.409,18.215,24.02,0.75
26.364,25.322,28.735,0.53
5.374,6.011,4.651,0.57
4.954,6.062,4.647,0.72
12.381,6.251,11.829,0.62
6.678,6.099,5.971,0.63
10.71,6.165,10.432,0.66
23.285,25.76,22.565,0.52
13.66,15.402,13.111,0.53
4.112,6.035,3.669,0.64
7.772,6.052,6.71,0.51
10.283,6.169,9.848,0.62
8.214,6.016,8.452,0.73
8.325,6.105,10.127,0.73
38.288,27.321,41.789,0.47
27.325,14.122,30.695,0.49
25.08,6.134,25.437,0.44
20.9,6.23,22.028,0.47
19.841,6.027,21.724,0.53
14.103,5.956,13.842,0.41
23.726,15.546,23.091,0.42
29.57,27.514,29.618,0.47
10.547,6.408,10.876,0.55
10.733,6.408,9.582,0.37
5.95,6.982,4.761,0.4
4.084,7.326,3.848,0.68
6.109,7.225,8.069,0.73
5.817,7.366,6.861,0.76
7.354,10.033,8.156,0.59
27.154,31.081,26.971,0.55
8.239,6.75,11.733,0.78
7.657,6.353,8.81,0.68
3.955,6.283,4.213,0.73
5.457,6.141,4.946,0.63
10.176,6.062,3.666,0.7
26.083,21.788,20.603,0.6
31.414,19.28,22.727,0.52
31.049,6.209,22.236,0.47
33.423,6.454,24.949,0.5
30.734,8.338,31.534,0.51
31.025,28.558,33.777,0.52
9.356,6.325,9.23,0.75
9.173,6.211,9.019,0.74
7.967,6.377,7.879,0.78
7.651,6.244,7.6,0.8
9.293,6.704,8.873,0.7
4.84,6.847,4.334,0.64
3.506,7.146,3.123,0.69
27.018,29.518,26.897,0.5
4.419,7.155,3.88,0.63
3.804,7.141,3.264,0.69
4.567,7.262,4.072,0.61
6.29,7.376,5.557,0.67
7.002,7.06,6.249,0.61
3.901,7.24,4.166,0.74
10.399,7.051,11.957,0.55
21.961,15.542,23.079,0.47
32.403,27.089,34.76,0.47
18.036,7.044,16.739,0.33
18.527,6.799,17.398,0.33
22.281,6.58,21.281,0.35
16.158,6.618,14.771,0.31
13.502,6.646,12.426,0.42
13.206,6.561,11.616,0.36
30.943,29.776,30.158,0.45
10.035,6.708,8.209,0.26
18.257,7.24,16.944,0.34
20.644,7.354,19.605,0.37
23.78,7.488,17.877,0.36
29.841,7.099,19.675,0.39
24.302,7.294,13.831,0.38
28.938,7.342,18.971,0.38
26.222,15.919,16.709,0.4
33.587,26.524,29.766,0.44
11.766,7.253,10.864,0.36
19.802,7.063,19.058,0.42
23.492,7.19,22.883,0.39
11.261,7.023,9.166,0.26
11.438,6.693,9.343,0.25
11.661,6.591,9.793,0.29
24.195,6.57,23.873,0.39
33.907,29.873,35.327,0.44
16.323,6.9,15.008,0.37
21.204,6.681,20.178,0.36
26.139,6.513,25.327,0.37
21.511,6.6,20.612,0.35
19.171,6.618,18.199,0.35
14.076,6.372,12.979,0.37
17.585,6.43,16.581,0.37
34.026,28.621,34.133,0.42
27.374,9.648,26.993,0.37
11.114,6.003,10.062,0.25
11.316,5.926,11.605,0.34
12.568,6.237,12.522,0.31
20.647,6.469,20.086,0.36
18.987,6.666,18.845,0.38
9.136,6.559,7.52,0.36
14.382,13.226,13.208,0.38
29.258,27.64,28.295,0.42
10.149,6.334,8.208,0.16
9.303,6.439,7.291,0.14
8.873,6.409,6.675,0.11
8.793,6.18,6.655,0.1
8.694,6.201,6.633,0.11
5.017,5.829,4.159,0.54
6.272,6.08,6.81,0.74
5.041,6.227,5.995,0.79
26.382,29.341,26.405,0.55
6.106,6.036,6.224,0.68
3.606,6.343,2.824,0.61
10.496,6.681,5.357,0.72
14.452,6.886,5.189,0.72
21.04,7.026,9.78,0.38
14.589,7.11,4.635,0.66
17.521,6.942,7.127,0.63
13.074,6.94,5.078,0.64
25.613,29.022,24.228,0.5
7.927,10.829,7.481,0.54
2.744,6.72,2.342,0.83
2.78,6.826,2.649,0.83
4.011,6.612,3.589,0.69
7.456,6.645,7.406,0.8
8.393,6.819,8.474,0.8
6.869,7.068,6.66,0.73
31.457,34.732,31.504,0.52
4.778,7.08,4.488,0.69
4.546,7.076,4.227,0.68
2.914,6.861,3.534,0.81
5.173,6.772,5.089,0.7
8.101,6.88,8.491,0.77
7.134,8.937,7.408,0.65
28.192,29.928,28.467,0.52
4.388,7.577,4.398,0.72
3.71,6.9,3.927,0.74
2.774,6.719,3.361,0.81
3.989,6.477,4.012,0.72
4.72,6.332,4.395,0.67
9.4,6.745,8.856,0.65
27.166,28.608,28.017,0.53
9.492,12.408,9.301,0.55
4.822,7.037,4.262,0.65
6.22,6.941,5.315,0.58
6.298,7.236,5.431,0.58
7.34,7.265,20.215,0.96
13.48,7.188,32.74,0.98
20.043,7.149,33.402,0.98
25.532,14.173,37.548,0.93
34.907,28.299,47.831,0.86
20.576,7.013,34.654,0.98
14.81,6.733,32.296,0.98
11.374,6.717,33.602,0.98
10.675,6.727,32.519,0.98
12.37,6.807,34.056,0.98
11.354,6.904,32.963,0.98
11.175,6.708,31.379,0.97
26.703,30.591,46.531,0.86
10.284,6.925,31.15,0.98
10.636,6.904,31.192,0.98
9.816,6.753,30.933,0.98
9.793,6.862,30.824,0.98
9.777,6.915,30.824,0.98
10.77,6.865,32.217,0.98
11.966,6.899,32.954,0.98
10.846,6.95,31.485,0.98
27.31,29.775,47.421,0.85
11.927,6.484,32.929,0.98
11.092,6.435,32.484,0.98
11.129,6.342,32.486,0.98
11.71,6.302,32.821,0.98
11.068,6.234,32.522,0.98
11.587,6.315,32.741,0.98
11.106,6.481,32.455,0.98
18.311,15.754,37.953,0.93
23.389,26.458,44.237,0.88
11.133,6.854,32.435,0.98
11.128,6.705,32.382,0.98
11.078,6.576,32.396,0.98
11.825,6.676,32.834,0.98
11.192,6.588,32.399,0.98
11.106,6.588,32.4,0.98
11.1,6.419,32.409,0.98
21.229,23.299,42.03,0.9
18.888,19.836,40.436,0.92
11.586,6.303,33.969,0.98
11.158,6.268,33.861,0.98
11.061,6.396,34.187,0.98
11.035,6.457,34.364,0.98
11.018,6.471,34.465,0.98
11.007,6.544,34.441,0.98
11.036,6.613,34.428,0.98
21.44,23.183,43.699,0.9
19.274,20.377,41.533,0.92
11.679,6.531,34.355,0.98
18.965,6.468,34.357,0.98
18.909,6.486,34.386,0.98
18.918,6.582,34.432,0.98
18.85,6.599,34.416,0.98
15.346,6.863,34.396,0.98
10.999,6.818,34.411,0.98
21.279,23.095,43.236,0.9
19.544,20.644,41.5,0.91
11.013,6.549,33.825,0.98
11.049,6.605,33.706,0.98
11.054,6.464,32.782,0.98
10.948,6.376,32.633,0.98
10.965,6.384,32.649,0.98
10.959,6.466,32.673,0.98
10.979,6.484,32.645,0.98
22.331,24.501,43.151,0.89
18.363,18.968,39.039,0.92
10.955,6.445,32.65,0.98
10.974,6.281,32.804,0.98
11.001,6.37,34.379,0.98
11.087,6.402,35.136,0.98
11.094,6.401,34.523,0.98
11.031,6.448,34.398,0.98
11.024,6.485,33.993,0.98
26.771,30.328,49.307,0.87
11.067,6.489,34.06,0.98
10.939,6.493,33.223,0.98
10.924,6.408,33.039,0.98
11.006,6.466,33.062,0.98
10.978,6.455,32.987,0.98
10.963,6.391,32.988,0.98
10.99,6.431,33.025,0.98
16.552,16.357,37.629,0.93
23.225,26.226,44.958,0.89
11.022,6.379,33.062,0.98
10.99,6.425,33.052,0.98
10.994,6.363,33.028,0.98
11.082,6.408,33.078,0.98
11.181,6.392,33.083,0.98
10.965,6.324,33,0.98
11.04,6.433,33.053,0.98
28.036,23.64,42.706,0.9
26.992,20.061,40.174,0.91
19.025,6.512,33.054,0.98
18.928,6.487,33.056,0.98
18.907,6.474,33.033,0.98
11.459,6.386,33.04,0.98
11.1,6.504,33.014,0.98
11.038,6.406,32.969,0.98
11.097,6.517,33.014,0.98
26.83,30.475,48.506,0.86
11.008,6.522,32.977,0.98
11.095,6.554,32.979,0.98
11.021,6.502,32.969,0.98
11.078,6.496,32.933,0.98
11.017,6.311,32.905,0.98
12.468,6.574,33.643,0.97
10.994,6.792,32.859,0.98
21.394,23.117,42.175,0.9
19.722,20.955,40.649,0.91
10.944,6.421,32.859,0.98
11.001,6.453,32.861,0.98
11.046,6.487,32.882,0.98
11.066,6.487,32.907,0.98
11.922,6.733,33.273,0.98
11.326,6.747,32.967,0.98
11.098,6.672,32.869,0.98
26.733,29.897,48.317,0.86
11.073,6.496,32.902,0.98
11.932,6.498,33.339,0.98
11.872,6.477,33.384,0.98
11.269,6.325,32.984,0.98
13.298,6.372,34.109,0.97
11.148,6.274,32.904,0.98
11.037,6.265,32.841,0.98
26.744,30.31,48.458,0.87
11.106,6.237,32.883,0.98
11.098,6.25,32.92,0.98
11.069,6.247,32.909,0.98
11.113,6.153,32.868,0.98
12.66,6.194,33.664,0.98
11.304,6.213,32.977,0.98
11.151,6.166,32.93,0.98
26.68,29.845,48.707,0.87
12.204,6.25,33.449,0.98
11.188,6.165,32.964,0.98
16.36,6.238,32.991,0.98
19.527,6.282,33.246,0.98
20.477,6.298,33.662,0.98
20.645,6.27,34.581,0.98
21.569,6.402,36.281,0.98
26.66,29.642,50.197,0.88
14.01,6.325,36.565,0.97
13.939,6.315,36.506,0.97
16.274,6.532,37.88,0.96
14.466,6.797,36.409,0.97
14.694,6.865,36.756,0.97
9.477,6.374,25.797,0.97
25.472,27.472,25.709,0.56
11.935,14.053,12.535,0.6
7.323,5.939,7.559,0.7
3.576,6.104,5,0.75
3.897,6.098,5.59,0.75
6.26,5.857,7.544,0.74
4.271,6.067,6.441,0.76
23.637,25.266,26.14,0.57
13.974,16.233,15.712,0.61
7.662,6.561,9.047,0.69
14.452,6.682,14.928,0.45
14.009,6.337,14.251,0.43
10.445,6.278,9.707,0.39
8.68,6.261,7.43,0.35
22.535,6.309,23.63,0.42
12.858,6.296,12.263,0.38
30.981,29.202,33.377,0.51
15.595,6.179,16.197,0.45
11.034,5.927,11.072,0.5
11.259,5.84,11.58,0.53
16.764,5.711,17.078,0.41
21.475,5.976,22.292,0.4
19.26,5.853,9.415,0.38
20.142,5.86,9.489,0.38
30.152,6.062,22.533,0.4
46.681,29.827,41.95,0.47
29.537,6.301,20.526,0.4
21.543,6.165,21.562,0.41
10.533,6.045,9.511,0.36
8.253,5.924,7.117,0.41
5.469,6.07,6.115,0.71
5.221,6.421,5.953,0.71
5.743,6.259,6.465,0.71
4.944,6.052,6.004,0.73
26.621,29.283,28.561,0.56
4.398,6.331,5.595,0.74
6.665,6.26,7.986,0.76
5.359,6.248,6.24,0.73
2.684,6.118,4.565,0.8
5.938,5.979,6.655,0.72
2.437,6.021,4.425,0.81
2.487,6.135,4.428,0.81
24.868,23.723,26.641,0.5
21.474,18.785,22.064,0.45
23.757,6.529,24.728,0.38
24.26,6.662,25.357,0.4
11.91,6.728,12.221,0.52
19.298,6.816,19.945,0.41
17.272,6.594,17.783,0.44
19.284,6.719,16.429,0.41
27.734,6.865,19.191,0.44
43.564,29.726,39.214,0.47
24.541,6.935,15.691,0.4
31.886,7.005,24.095,0.38
16.322,6.94,8.756,0.73
11.671,6.805,8.953,0.76
6.476,6.937,8.718,0.83
3.977,6.936,5.627,0.77
5.253,6.927,6.223,0.73
10.845,13.376,11.89,0.58
24.089,27,25.468,0.56
6.167,6.968,6.654,0.7
3.867,6.96,5.087,0.76
6.075,6.911,6.77,0.72
2.699,6.851,4.403,0.81
2.704,6.781,4.313,0.81
5.634,6.866,6.091,0.7
24.328,27.727,25.369,0.54
15.396,17.724,16.049,0.56
7.472,6.815,7.532,0.67
4.418,6.682,5.039,0.73
4.603,6.552,5.222,0.72
4.831,6.525,5.421,0.74
5.783,6.325,6.1,0.73
5.762,6.111,5.925,0.67
7.058,6.127,7.142,0.68
6.015,6.209,6.152,0.7
7.087,6.24,7.162,0.73
11.683,12.738,12.403,0.6
26.026,26.78,25.874,0.56
14.874,6.219,5.797,0.68
12.93,6.257,4.123,0.75
13.656,6.349,4.928,0.75
20.661,6.409,11.974,0.68
12.732,6.361,9.307,0.61
7.218,6.334,7.188,0.65
9.58,6.455,10.38,0.73
4.406,6.196,4.724,0.76
6.278,6.382,6.3,0.66
5.034,6.313,5.181,0.68
5.542,6.087,5.6,0.67
7.992,6.195,7.85,0.63
27.68,27.965,32.285,0.55
13.165,10.778,14.452,0.65
9.854,6.531,10.733,0.74
12.74,6.215,13.425,0.69
4.795,6.292,5.063,0.74
4.356,6.31,4.557,0.72
3.652,6.16,4.081,0.75
4.163,5.959,4.396,0.73
2.815,6.104,3.496,0.82
4.62,6.088,4.871,0.69
2.89,5.976,3.501,0.82
4.212,5.933,4.534,0.82
18.608,20.947,19.225,0.52
18.574,21.016,19.291,0.53
2.824,6.077,3.488,0.83
2.903,5.987,3.494,0.82
3.76,6.063,3.479,0.82
12.512,6.233,3.48,0.83
12.855,6.215,4.043,0.76
14.088,6.148,5.012,0.7
14.645,6.279,5.478,0.68
10.985,6.399,3.47,0.83
3.77,6.201,4.147,0.75
4.024,6.258,4.29,0.74
25.811,28.278,27.363,0.53
10.617,11.424,11.526,0.6
2.922,6.543,3.474,0.83
3.002,6.318,3.468,0.83
7.173,6.206,7.133,0.65
5.653,6.211,5.802,0.71
5.108,6.107,5.517,0.75
3.872,6.144,5.04,0.87
3.022,6.026,4.415,0.88
3.047,5.981,4.397,0.88
4.06,6.018,4.367,0.74
10.785,12.58,11.451,0.54
25.611,27.593,27.327,0.54
3.817,6.114,5.056,0.84
6.579,6.477,7.106,0.76
2.983,6.416,4.433,0.88
2.858,6.442,4.425,0.88
3.068,6.418,4.422,0.88
4.23,6.126,5.223,0.81
4.778,6.113,5.73,0.78
4.985,6.111,5.918,0.77
6.276,6.244,6.905,0.73
15.089,17.332,28.29,0.85
23.532,25.789,43.527,0.86
13.514,7.161,31.347,0.97
13.879,6.998,31.504,0.97
20.454,7.037,30.784,0.97
21.111,6.899,31.014,0.97
19.906,6.843,30.351,0.98
22.234,6.825,31.837,0.97
17.788,6.722,30.366,0.98
11.568,6.678,30.008,0.98
