IL1,IL2,IL3,PFL3
4.922,6.628,5.33,0.75
3.811,6.721,4.472,0.82
6.423,6.934,6.843,0.71
4.791,6.89,5.257,0.76
2.654,6.899,3.698,0.9
3.983,6.87,4.627,0.8
23.06,25.842,24.499,0.54
14.559,15.558,15.377,0.6
5.979,6.974,6.961,0.83
4.364,6.91,4.975,0.78
4.012,6.948,4.65,0.85
2.657,6.913,3.706,0.9
4.728,6.911,5.262,0.78
6.191,6.898,6.579,0.76
11.957,6.984,5.406,0.75
14.674,6.928,5.787,0.72
22.752,16.007,17.136,0.56
30.241,26.09,24.697,0.56
14.91,6.777,6.262,0.71
8.135,6.799,8.138,0.68
5.39,6.867,5.761,0.81
4.586,6.912,5.196,0.87
5.856,7.031,6.134,0.71
4.77,7.013,5.234,0.76
3.739,6.909,4.43,0.81
4.389,6.985,4.925,0.77
3.402,7.017,4.192,0.84
26.113,29.924,27.531,0.54
3.851,6.989,4.531,0.8
6.556,6.892,6.728,0.7
8.016,7.007,8.181,0.7
7.211,7.037,7.495,0.7
4.043,6.948,4.678,0.8
4.837,6.972,5.28,0.76
5.137,6.849,5.551,0.73
6.955,6.907,6.918,0.67
6.295,7.057,6.553,0.74
25.207,27.57,26.352,0.53
12.624,13.314,13.726,0.57
6.755,6.879,6.69,0.68
4.45,6.877,4.604,0.74
3.58,6.877,3.917,0.8
5.6,7.006,5.657,0.69
4.562,7.12,4.73,0.73
8.014,7.03,8.096,0.67
9.265,6.913,10.196,0.73
10.55,7.022,11.731,0.76
14.261,12,15.979,0.63
28.42,28.718,33.495,0.56
7.488,7.191,8.341,0.79
5.11,7.048,5.299,0.74
9.425,7.166,10.138,0.72
9.213,7.01,10.114,0.76
8.204,6.85,9.095,0.78
9.234,6.853,10.093,0.74
6.674,6.817,7.113,0.74
2.831,6.783,3.23,0.91
10.565,6.756,11.377,0.72
6.933,6.744,7.755,0.82
26.735,29.724,28.511,0.54
3.904,7.056,4.203,0.8
3.717,6.993,3.976,0.8
4.263,6.884,4.385,0.75
4.793,6.88,4.898,0.72
5.694,6.981,5.673,0.68
4.041,7.099,4.224,0.77
5.913,6.843,5.838,0.67
4.753,6.828,4.795,0.74
2.817,6.833,3.228,0.91
5.354,6.715,5.363,0.7
23.278,22.941,27.176,0.56
20.502,21.866,22.662,0.53
12.42,7.239,4.842,0.72
13.861,7.239,4.749,0.73
12.31,7.25,3.225,0.91
12.282,7.102,3.225,0.91
13.693,7.143,8.495,0.84
3.643,7.166,3.809,0.81
7.394,7.323,8.469,0.84
8.85,7.213,9.69,0.76
11.397,7.26,12.169,0.68
4.997,7.137,5.232,0.84
26.941,30.063,28.065,0.51
6.312,7.243,6.941,0.8
8.542,7.308,9.58,0.8
4.804,7.271,5.145,0.84
2.977,7.167,3.231,0.91
2.953,7.03,3.229,0.91
6.569,7.048,6.587,0.68
3.814,7.118,4.028,0.79
8.42,7.319,9.237,0.76
5.646,7.222,6.081,0.79
2.726,7.234,3.225,0.91
4.557,7.086,4.597,0.74
26.313,30.044,27.577,0.53
2.989,6.996,3.227,0.91
6.12,7.291,7.003,0.84
5.149,7.291,5.75,0.85
2.957,7.179,3.222,0.91
9.42,7.155,10.053,0.7
9.27,7.245,10.402,0.78
12.849,7.367,19.745,0.94
16.86,7.608,32.134,0.97
17.348,7.713,35.29,0.97
26.086,25.185,47.322,0.86
18.82,18.188,37.363,0.91
15.591,7.553,33.26,0.97
12.829,7.469,31.088,0.98
12.439,7.641,30.486,0.97
15.377,7.595,32.437,0.96
14.764,7.591,31.987,0.96
11.518,7.518,29.896,0.98
12.184,7.457,30.284,0.97
27.256,31.951,48.21,0.83
17.295,7.412,34.603,0.96
12.281,7.36,30.285,0.98
12.775,7.366,30.559,0.97
11.334,7.385,29.721,0.98
12.347,7.462,30.3,0.97
11.396,7.522,29.65,0.98
12.066,7.481,30.079,0.98
12.274,7.546,30.189,0.97
12.222,7.509,30.249,0.98
17.271,17.011,35.375,0.91
22.376,25.697,42.168,0.86
11.42,7.39,29.684,0.98
15.795,7.444,29.641,0.98
19.068,7.329,29.655,0.98
19.46,7.241,29.863,0.98
20.099,7.28,30.236,0.97
18.791,7.113,29.636,0.98
13.056,7.15,30.908,0.97
15.239,13.344,33.017,0.93
24.254,28.137,44.347,0.85
11.22,7.151,29.647,0.98
11.206,7.228,29.611,0.98
11.2,7.236,29.612,0.98
11.255,7.205,29.645,0.98
11.939,7.29,29.981,0.98
13.153,7.313,30.874,0.97
11.632,7.207,29.871,0.98
11.194,7.186,29.596,0.98
11.282,7.229,29.623,0.98
22.576,25.16,42.124,0.86
17.632,18.591,36.275,0.9
11.179,7.226,29.605,0.98
11.212,7.218,29.625,0.98
11.166,7.254,29.638,0.98
11.243,7.223,29.657,0.98
11.966,7.176,30.091,0.97
11.653,7.271,29.933,0.98
11.221,7.216,29.632,0.98
11.177,7.126,29.608,0.98
12.005,7.251,30.056,0.97
26.091,30.337,46.338,0.84
11.206,7.194,29.577,0.98
11.17,7.627,29.616,0.98
11.169,7.657,29.624,0.98
11.207,7.677,29.59,0.98
11.204,7.75,29.587,0.98
11.157,7.411,29.593,0.98
11.13,7.391,29.54,0.98
11.646,7.368,29.816,0.98
11.2,7.182,29.6,0.98
21.824,24.414,40.847,0.86
18.857,20.404,37.404,0.89
11.167,7.317,29.528,0.98
11.214,7.34,29.545,0.98
11.098,7.299,29.498,0.98
11.092,7.371,29.517,0.98
11.099,7.394,29.504,0.98
11.135,7.332,29.518,0.98
11.162,7.351,29.605,0.98
11.107,7.339,29.555,0.98
14.872,14.176,32.865,0.93
24.783,28.782,44.747,0.84
18.274,7.485,29.503,0.98
18.971,7.453,29.531,0.98
18.913,7.314,29.524,0.98
18.885,7.275,29.536,0.98
16.514,7.32,29.523,0.98
11.101,7.264,29.486,0.98
11.147,7.306,29.471,0.98
11.171,7.204,29.505,0.98
11.15,7.225,29.54,0.98
26.687,31.227,46.992,0.83
11.209,7.286,29.562,0.98
11.155,7.326,29.555,0.98
11.133,7.367,29.51,0.98
11.13,7.209,29.493,0.98
11.123,7.251,29.567,0.98
11.132,7.323,29.628,0.98
11.16,7.283,29.585,0.98
28.491,34.096,49.761,0.82
11.189,7.309,29.547,0.98
11.159,7.172,29.542,0.98
26.817,31.231,47.161,0.83
11.104,7.156,29.614,0.98
11.175,7.22,29.639,0.98
11.256,7.314,29.599,0.98
11.161,7.275,29.56,0.98
11.193,7.286,29.559,0.98
11.143,7.243,29.546,0.98
11.159,7.26,29.578,0.98
13.743,7.344,31.17,0.96
23.377,26.856,42.923,0.85
16.824,17.817,35.339,0.91
11.233,7.532,29.549,0.98
11.141,7.445,29.536,0.98
11.141,7.486,29.598,0.98
11.175,7.526,29.609,0.98
11.191,7.42,29.567,0.98
11.156,7.316,29.52,0.98
11.165,7.321,29.508,0.98
34.778,31.293,47.261,0.84
19.03,7.619,29.619,0.98
18.931,7.822,29.559,0.98
23.039,7.814,32.979,0.97
20.59,7.575,32.607,0.97
11.169,7.45,29.561,0.98
11.102,7.229,29.528,0.98
11.214,7.286,29.537,0.98
11.201,7.054,29.539,0.98
14.567,13.298,32.608,0.93
24.76,28.772,45.237,0.85
11.193,7.083,29.532,0.98
11.202,6.998,29.535,0.98
11.213,7.175,29.564,0.98
11.223,7.235,29.541,0.98
11.999,7.251,30.052,0.98
11.265,7.046,29.517,0.98
11.229,7.242,29.519,0.98
26.674,31.556,47.537,0.84
18.51,18.329,36.858,0.9
12.188,7.449,30.085,0.98
11.285,7.471,29.59,0.98
15.133,7.586,32.882,0.97
18.134,7.409,35.246,0.95
11.3,7.355,29.609,0.98
11.807,7.403,29.842,0.98
12.016,7.262,29.957,0.98
13.988,11.203,31.678,0.95
25.033,29.134,45.663,0.85
11.824,7.128,29.844,0.98
14.892,7.107,32.156,0.96
11.536,7.464,30.04,0.98
17.08,7.489,34.206,0.95
18.383,7.545,35.041,0.94
17.089,7.283,33.899,0.95
19.848,7.385,36.495,0.94
26.782,27.833,46.909,0.84
13.989,14.277,25.93,0.86
5.765,7.073,6.724,0.82
12.853,7.152,6.489,0.81
16.585,7.093,7.284,0.7
17.177,7.048,8.157,0.79
16.133,7.143,6.94,0.74
14.191,6.933,4.793,0.61
4.828,6.814,4.582,0.6
25.867,29.37,26.984,0.52
6.416,6.715,6.195,0.66
5.461,6.614,5.55,0.69
6.229,6.785,6.606,0.77
5.444,6.619,5.241,0.59
3.425,6.572,3.332,0.68
6.535,6.73,6.176,0.55
4.216,6.607,4.109,0.68
22.179,25.524,23.574,0.54
14.622,17.133,15.441,0.55
4.742,6.433,4.624,0.61
7.166,6.774,6.893,0.57
6.625,6.86,6.345,0.57
2.449,6.859,2.765,0.85
5.705,7.195,7.917,0.87
6.493,7.055,8.553,0.83
4.478,6.824,6.879,0.85
6.513,7.001,8.461,0.83
23.757,27.337,26.412,0.62
10.812,12.729,11.488,0.62
4.436,7.016,4.621,0.71
3.907,6.989,4.302,0.74
3.48,7.073,3.879,0.74
2.369,7.353,3.111,0.84
4.925,7.377,5.637,0.84
4.844,7.182,5.91,0.86
5.359,6.817,5.287,0.66
4.597,6.846,4.52,0.68
18.816,21.187,19.817,0.54
25.49,21.644,19.374,0.56
20.691,7.019,11.709,0.73
12.679,6.747,3.57,0.73
12.81,6.772,3.866,0.73
15.337,6.798,5.89,0.7
6.725,6.74,5.669,0.68
6.568,6.912,6.455,0.69
6.876,6.524,6.509,0.65
3.433,6.507,4.095,0.77
5.71,6.533,6.233,0.73
16.645,19.553,17.864,0.58
20.129,23.172,21.704,0.6
5.993,6.77,8.587,0.91
5.627,6.691,8.16,0.91
4.413,6.769,5.654,0.84
4.582,6.717,5.359,0.74
5.551,6.551,6.324,0.74
5.374,6.457,5.98,0.73
7.229,6.798,7.176,0.66
19.095,21.382,20.162,0.58
19.807,22.063,22.898,0.61
7.972,6.92,8.368,0.74
9.401,6.934,9.529,0.69
3.75,6.914,3.814,0.73
4.646,6.915,4.575,0.66
3.851,6.927,3.951,0.7
3.557,6.882,3.732,0.71
7.015,6.84,7.397,0.7
27.34,29.261,30.303,0.53
5.211,7.057,5.161,0.64
10.17,7.169,10.798,0.8
7.055,7.02,7.526,0.78
9.808,7.372,5.187,0.73
14.036,7.327,4.758,0.66
12.021,7.117,2.848,0.81
13.073,7.127,4.41,0.83
20.717,7.411,11.722,0.69
6.284,7.288,4.551,0.72
25.708,29.308,27.186,0.54
7.529,7.244,7.066,0.62
6.453,7.261,6.121,0.64
7.296,7.143,7.215,0.66
5.039,7.04,4.947,0.66
2.765,6.811,3.069,0.78
2.418,6.958,2.853,0.82
3.809,6.73,3.558,0.68
4.315,6.605,3.861,0.6
19.424,21.268,20.792,0.52
18.702,21.16,20.503,0.54
5.231,6.925,4.673,0.58
6.898,6.913,6.176,0.52
4.594,6.965,4.074,0.58
3.837,7.035,3.344,0.61
6.611,7.017,5.84,0.54
7.11,6.775,6.222,0.51
3.505,7.007,3.046,0.77
2.51,6.901,2.03,0.82
14.327,17.26,14.901,0.5
24.083,24.925,26.803,0.52
7.926,7.061,7.238,0.59
2.439,7.024,7.669,0.98
3.792,7.104,8.815,0.94
5.697,6.91,10.21,0.89
5.919,6.962,10.902,0.91
6.21,6.971,10.767,0.88
5.672,7.051,9.031,0.95
13.21,7.248,9.125,0.95
18.455,13.917,13.258,0.56
31.309,26.886,27.191,0.54
15.587,7.811,5.879,0.58
13.244,7.657,4.922,0.63
5.594,7.884,5.164,0.61
7.027,7.774,6.531,0.59
3.448,7.834,3.154,0.72
3.265,7.952,2.956,0.8
5.14,7.736,4.535,0.6
21.837,24.742,22.551,0.5
16.663,18.861,17.408,0.5
4.019,7.273,3.611,0.67
4.64,7.248,4.226,0.64
3.533,7.955,3.352,0.74
9.695,7.689,9.537,0.63
5.349,7.586,4.962,0.8
3.032,7.412,2.854,0.81
4.489,7.485,4.027,0.67
33.417,35.377,38.065,0.54
9.383,9.016,9.611,0.64
9.477,8.024,9.373,0.65
23.725,26.226,24.636,0.5
17.259,19.337,18.184,0.5
2.818,8.159,2.846,0.81
4.551,8.321,4.292,0.67
5.478,8.641,5.01,0.7
3.9,8.059,3.745,0.7
4.283,8.013,4.212,0.81
2.791,7.688,2.847,0.81
4.197,7.647,3.968,0.68
20.493,22.492,22.596,0.51
20.75,22.399,22.765,0.51
4.104,8.448,3.882,0.68
7.953,8.051,2.842,0.81
13.363,7.949,3.901,0.68
17.353,8.305,18.485,0.95
21.965,8.382,31.282,0.97
18.92,8.367,29.458,0.98
15.39,8.452,29.427,0.98
25.81,30.363,45.707,0.84
13.057,10.282,30.645,0.96
13.946,7.7,30.364,0.96
14.495,7.65,30.65,0.96
11.281,7.657,28.585,0.98
12.038,7.779,28.975,0.97
11.738,7.673,28.785,0.97
13.121,7.498,29.621,0.96
27.455,32.639,47.545,0.82
11.69,7.148,28.684,0.97
11.664,7.147,28.685,0.97
11.113,7.203,28.346,0.98
13.442,7.217,30.011,0.97
11.169,7.492,28.353,0.98
11.047,7.41,28.285,0.98
23.56,26.793,41.941,0.84
16.191,16.569,33.318,0.91
11.04,7.16,28.292,0.98
11.017,7.261,28.319,0.98
11.111,7.273,28.338,0.98
10.988,7.194,28.307,0.98
11.983,7.115,28.903,0.97
10.952,7.168,28.282,0.98
10.985,7.093,28.278,0.98
11.031,7.235,28.293,0.98
25.495,29.092,43.909,0.83
13.043,11.435,30.161,0.95
10.908,7.283,28.274,0.98
12.19,7.352,28.993,0.97
10.944,7.228,28.259,0.98
12.535,7.206,29.16,0.96
10.943,7.146,28.201,0.98
10.986,7.15,28.213,0.98
11.038,7.22,28.235,0.98
11.065,7.268,28.28,0.98
27.411,30.42,46.467,0.82
13.167,7.463,29.545,0.96
10.953,7.598,28.227,0.98
11.019,7.618,28.268,0.98
11.574,7.361,28.627,0.97
10.994,7.438,28.252,0.98
17.824,7.484,28.262,0.98
18.815,7.626,28.336,0.98
18.757,7.335,28.313,0.98
19.929,10.034,29.418,0.96
33.207,30.055,45.203,0.83
10.957,7.298,28.324,0.98
10.939,7.22,28.314,0.98
10.986,7.324,28.311,0.98
10.983,7.314,28.299,0.98
10.941,7.161,28.261,0.98
10.96,7.271,28.304,0.98
10.982,7.677,28.262,0.98
11.01,7.59,28.311,0.98
20.81,23.216,38.782,0.86
19.44,21.421,37.239,0.88
10.941,7.373,28.317,0.98
10.964,7.341,28.335,0.98
10.96,7.16,28.375,0.98
10.985,7.227,28.396,0.98
11.02,7.243,28.41,0.98
11.035,7.114,28.378,0.98
10.968,7.149,28.335,0.98
10.95,7.07,28.35,0.98
26.885,30.55,46.027,0.82
10.942,7.152,28.301,0.98
10.926,7.158,28.302,0.98
10.917,7.112,28.332,0.98
10.991,7.121,28.377,0.98
10.948,7.202,28.358,0.98
10.871,7.157,28.357,0.98
10.926,7.165,28.392,0.98
10.939,7.249,28.439,0.98
16.404,15.468,33.199,0.91
24.289,27.607,42.714,0.84
10.976,7.642,28.465,0.97
10.934,7.54,28.467,0.98
10.954,7.707,28.489,0.98
10.954,7.556,28.508,0.98
10.966,7.539,28.461,0.97
11.057,7.44,28.49,0.98
10.975,7.259,28.464,0.98
10.98,7.276,28.47,0.97
30.262,26.006,41.837,0.84
25.142,18.469,35.036,0.9
18.767,7.467,28.469,0.98
18.875,7.397,28.477,0.97
18.77,7.418,28.466,0.98
10.921,7.297,28.394,0.98
10.928,7.381,28.412,0.98
10.917,7.228,28.445,0.97
10.951,7.304,28.441,0.98
10.946,7.383,28.422,0.98
27.029,30.96,46.183,0.81
10.922,7.259,28.401,0.98
10.922,7.355,28.415,0.98
10.884,7.362,28.445,0.98
10.91,7.328,28.438,0.97
10.957,7.142,28.435,0.98
10.918,7.243,28.436,0.98
10.949,7.305,28.469,0.98
11.023,7.37,28.471,0.98
16.707,16.743,33.719,0.9
23.787,26.908,42.104,0.84
10.977,7.288,28.497,0.98
10.931,7.181,28.473,0.97
10.918,7.321,28.464,0.98
10.932,7.364,28.482,0.98
10.922,7.346,28.489,0.98
10.937,7.225,28.501,0.98
10.901,7.285,28.486,0.98
10.968,7.687,28.49,0.98
24.466,27.884,43.504,0.83
15.502,15.513,33.02,0.91
10.937,7.429,28.497,0.98
10.93,7.219,28.466,0.98
10.943,7.196,28.52,0.97
10.977,7.273,28.477,0.98
10.964,7.118,28.474,0.98
10.931,6.99,28.46,0.98
10.932,7.029,28.474,0.98
10.975,7.116,28.484,0.98
26.979,30.983,46.034,0.82
10.97,7.004,28.438,0.98
10.989,6.988,28.422,0.98
16.41,7.014,28.45,0.98
21.786,7.129,29.961,0.96
18.927,6.944,28.431,0.98
18.97,7.069,28.448,0.98
20.659,7.022,29.402,0.97
11.317,6.91,28.464,0.98
26.54,30.524,46.055,0.83
11.573,6.987,28.734,0.97
13.872,6.948,30.203,0.96
16.958,6.889,33.677,0.96
12.569,6.828,29.509,0.97
11.992,6.87,28.873,0.97
14.869,7.118,31.594,0.97
26.563,31.394,46.685,0.83
12.029,7.226,28.981,0.97
13.14,7.299,30.02,0.97
12.824,7.181,29.803,0.97
11.679,7.147,28.904,0.97
13.182,7.303,29.702,0.96
17.117,7.381,32.746,0.94
11.023,7.044,28.322,0.98
10.804,7.142,25.666,0.96
26.743,30.057,28.521,0.51
5.392,6.78,5.075,0.65
4.068,6.976,3.699,0.68
6.973,7.171,6.529,0.54
6.746,6.921,6.546,0.57
6.242,6.725,5.8,0.54
3.188,6.739,2.931,0.65
6.392,6.807,6.079,0.59
8.062,6.962,8.388,0.64
27.738,29.786,32.004,0.56
11.278,6.925,3.578,0.62
12.021,6.79,2.188,0.79
11.902,6.84,2.024,0.82
13.896,6.905,4.922,0.58
11.672,6.898,2.902,0.66
7.013,7.17,6.571,0.53
22.444,24.133,24.65,0.51
17.842,21.35,18.208,0.51
4.857,8.953,4.519,0.62
5.117,8.865,4.88,0.68
9.138,9.008,8.794,0.61
5.706,8.73,5.512,0.64
8.112,8.625,8.042,0.61
13.609,16.814,13.999,0.52
22.449,25.946,22.834,0.52
2.458,7.648,2.498,0.82
4.76,7.491,4.682,0.68
7.47,7.537,7.954,0.81
5.701,7.282,5.901,0.7
10.994,7.356,11.405,0.68
8.023,7.047,8.08,0.62
24.553,27.403,25.196,0.52
9.754,12.329,10.364,0.53
3.492,7.328,4.114,0.79
3.877,7.443,5.44,0.85
4.35,8.635,6.878,0.87
7.115,8.987,8.904,0.79
4.901,8.927,6.658,0.87
24.198,26.642,26.505,0.54
14.195,17.846,14.91,0.57
6.416,8.45,6.737,0.7
10.356,8.724,11.39,0.76
12.74,9.092,13.305,0.69
4.322,8.99,4.232,0.66
3.519,8.959,4.161,0.73
5.19,8.929,5.483,0.77
26.301,30.583,27.583,0.52
9.748,9.892,10.159,0.68
10.699,8.515,6.534,0.74
16.185,7.995,6.608,0.65
17.537,8.06,7.159,0.62
14.943,7.921,5.882,0.68
13.154,7.892,3.923,0.82
9.299,8.053,7.966,0.71
27.333,30.736,29.254,0.52
4.996,8.528,5.871,0.77
2.381,8.078,4.106,0.89
2.432,8.702,4.106,0.9
4.709,8.991,5.439,0.76
3.912,8.716,4.243,0.83
4.805,8.297,4.893,0.68
3.881,8.104,4.105,0.72
22.852,26.338,24.332,0.52
17.946,19.151,19.708,0.52
3.899,8.389,3.912,0.71
2.454,8.448,2.811,0.84
4.14,8.125,3.967,0.66
3.738,8.283,3.592,0.7
3.905,8.114,3.983,0.72
4.089,7.767,10.368,0.92
5.702,7.624,11.276,0.88
6.131,7.768,14.826,0.9
27.021,29.942,30.225,0.54
2.566,7.465,2.415,0.86
4.554,7.221,4.518,0.69
6.993,7.157,10.739,0.85
5.582,7.267,17.459,0.94
4.679,7.046,4.922,0.69
5.233,6.993,5.083,0.66
6.951,6.689,6.893,0.63
14.325,14.703,14.77,0.52
23.322,26.3,24.119,0.5
3.408,7.481,3.345,0.79
4.297,7.259,4.124,0.76
5.909,7.25,5.57,0.58
4.611,7.489,4.287,0.61
5.267,7.494,4.995,0.57
2.504,7.319,2.286,0.84
4.24,7.355,11.709,0.91
5.312,7.38,14.43,0.93
23.456,26.285,26.653,0.56
15.048,17.103,15.771,0.5
2.538,7.225,2.329,0.84
5.695,7.122,5.33,0.58
6.646,7.03,6.242,0.57
2.649,7.395,2.303,0.84
5.148,7.427,4.801,0.66
3.515,7.402,3.184,0.79
4.719,7.317,3.415,0.74
12.319,7.611,2.417,0.86
33.943,30.412,27.944,0.5
15.949,8.2,7.278,0.74
15.834,7.984,6.2,0.67
12.449,7.894,5.303,0.6
7.01,8.326,6.831,0.63
8.422,8.631,8.919,0.71
8.101,8.472,8.554,0.74
5.847,8.765,5.693,0.68
5.642,8.799,5.403,0.65
22.644,26.928,23.044,0.51
14.599,17.528,14.843,0.55
4.828,8.453,4.636,0.69
5.146,8.732,4.942,0.68
7.685,10.833,7.99,0.73
10.055,9.084,10.354,0.69
7.659,8.769,6.992,0.61
8.647,8.865,8.819,0.74
8.65,8.889,8.949,0.75
29.481,31.232,33.536,0.54
9.778,8.831,10.1,0.7
8.599,8.263,8.88,0.75
7.442,8.013,7.759,0.81
5.75,7.803,5.994,0.81
6.431,8.114,6.832,0.82
7.952,8.618,8.242,0.72
2.83,8.572,3.335,0.83
7.772,8.983,7.141,0.6
24.921,29.174,25.636,0.51
11.919,14.323,12.379,0.63
7.355,8.925,7.217,0.7
9.387,9.07,9.815,0.71
8.818,8.893,8.947,0.71
3.693,8.489,3.723,0.74
3.802,8.253,3.572,0.73
5.3,12.548,16.907,0.69
11.904,8.904,26.517,0.97
23.688,27.738,42.234,0.84
17.234,19.245,34.953,0.91
11.342,9.014,29.212,0.98
13.289,9.307,30.476,0.97
11.935,8.704,29.497,0.98
11.263,7.165,29.006,0.98
13.061,7.169,30.131,0.97
14.982,7.52,31.405,0.95
11.702,7.502,29.562,0.97
24.673,26.669,43.367,0.84
27.342,17.199,36.93,0.89
19.514,7.393,29.103,0.98
20.833,7.458,29.945,0.97
21.384,7.465,30.77,0.97
14.972,7.387,33.591,0.98
11.082,7.389,35.095,0.98
12.502,7.24,36.043,0.98
22.438,25.466,46.255,0.88
17.795,18.859,41.202,0.92
11.047,7.674,34.879,0.98
11.075,7.642,34.852,0.98
11.014,7.688,34.87,0.98
11.777,7.475,35.269,0.98
11.062,7.576,34.82,0.98
11.054,7.7,32.533,0.98
11.944,7.474,29.216,0.97
25.126,29.225,44.471,0.83
13.487,12.215,30.873,0.94
10.988,7.47,28.6,0.98
11.069,7.403,28.631,0.98
12.892,7.287,29.777,0.96
11.668,7.28,28.998,0.97
10.928,7.347,33.544,0.98
10.952,7.388,34.861,0.98
10.946,7.416,34.801,0.98
26.671,30.533,51.198,0.86
10.95,7.284,34.759,0.98
11.074,7.368,34.764,0.98
10.954,7.25,34.753,0.98
10.917,7.217,34.725,0.98
10.934,7.258,34.787,0.98
10.934,7.193,34.795,0.98
10.969,7.189,34.818,0.98
13.786,12.443,36.96,0.96
25.367,29.298,49.898,0.86
10.906,7.245,34.764,0.98
10.892,7.358,34.764,0.98
11.028,7.239,31.821,0.98
10.967,7.158,28.635,0.98
10.983,7.134,28.641,0.98
10.967,7.264,28.596,0.98
10.973,7.271,28.669,0.98
20.937,23.315,39.151,0.86
19.598,21.704,37.751,0.88
10.97,7.778,28.74,0.98
11.002,7.763,28.685,0.98
10.882,7.316,28.61,0.98
16.267,7.484,28.678,0.98
18.924,7.604,28.702,0.98
18.82,7.516,28.688,0.98
18.904,7.467,28.685,0.98
34.196,30.76,46.07,0.83
11.265,7.985,28.99,0.97
10.926,7.22,28.653,0.98
10.957,7.18,28.667,0.98
10.966,7.249,28.645,0.98
10.942,7.228,28.643,0.98
10.912,7.201,28.61,0.98
10.961,7.146,28.632,0.98
10.968,7.212,28.649,0.98
26.749,30.929,46.011,0.82
10.995,7.17,28.662,0.98
10.99,7.217,28.703,0.98
10.932,7.168,28.669,0.98
10.923,7.147,28.651,0.98
10.988,7.212,28.667,0.98
10.945,7.248,28.655,0.98
10.931,7.321,28.635,0.98
19.57,21.025,37.507,0.87
21.711,24.193,40.121,0.86
10.91,7.32,28.719,0.98
10.882,7.278,28.691,0.98
10.947,7.32,28.716,0.98
10.915,7.284,28.684,0.98
10.953,7.346,28.694,0.98
11.026,7.343,28.709,0.98
10.95,7.24,28.66,0.98
25.367,28.967,44.494,0.83
14.389,13.507,31.851,0.93
10.953,7.269,28.661,0.98
10.93,7.246,28.682,0.98
11.01,7.274,28.71,0.98
10.928,7.263,28.711,0.98
10.94,7.241,28.702,0.98
10.95,7.269,28.666,0.98
10.975,7.329,28.663,0.98
27.032,31.565,46.896,0.82
10.992,7.327,28.676,0.98
11.103,7.34,28.685,0.98
10.975,7.203,28.72,0.98
10.963,7.087,28.692,0.98
11.036,7.233,28.654,0.98
10.984,7.21,28.665,0.98
10.953,7.241,28.632,0.98
18.439,19.971,36.118,0.88
31.756,25.664,42.633,0.85
18.912,7.805,28.675,0.98
18.842,7.853,28.671,0.98
18.869,7.73,28.721,0.98
15.994,7.632,28.744,0.98
11.015,7.556,28.712,0.98
10.962,7.512,28.654,0.98
11.022,7.338,28.652,0.98
25.491,29.578,44.615,0.83
13.98,12.932,31.427,0.94
11.009,7.225,28.682,0.98
10.978,7.276,28.631,0.98
11.003,7.26,28.617,0.98
11.058,7.255,28.642,0.98
11.052,7.56,28.63,0.98
11.052,7.733,28.608,0.98
13.02,11.074,30.151,0.95
25.69,29.87,45.209,0.83
11.48,7.305,29.003,0.98
16.744,7.449,33.771,0.96
16.181,7.525,33.155,0.96
15.76,7.547,32.742,0.96
11.039,7.112,28.705,0.98
11.017,7.093,28.685,0.98
11.054,7.08,28.664,0.98
27.888,29.029,47.399,0.81
17.175,12.569,33.804,0.92
13.335,7.44,30.097,0.96
11.84,7.479,29.104,0.97
11.149,7.289,28.723,0.98
11.062,7.145,28.723,0.98
13.982,7.204,31.174,0.97
12.33,7.201,29.714,0.97
24.778,23.562,44.486,0.86
24.184,21.141,43.278,0.87
16.29,6.878,33.293,0.96
16.32,6.878,33.294,0.97
15.666,7.155,32.552,0.96
14.693,7.334,31.096,0.95
15.208,7.305,31.968,0.96
11.823,7.385,29.583,0.98
27.879,31.136,48.704,0.83
13.324,7.279,30.619,0.97
5.639,6.914,7.437,0.87
6.475,6.889,6.252,0.61
8.894,6.976,9.193,0.64
8.344,7.064,9.092,0.74
18.94,6.993,10.392,0.62
14.515,7.006,5.395,0.76
13.985,9.078,4.661,0.63
36.738,34.263,32.045,0.52
11.242,10.55,3.663,0.65
4.637,10.007,4.519,0.6
7.497,9.772,8.048,0.75
9.604,9.328,10.303,0.7
6.294,8.906,6.336,0.66
6.065,9.376,6.717,0.81
7.592,8.51,8.24,0.75
8.039,7.85,8.671,0.73
26.489,29.269,30.668,0.57
9.569,10.626,10.732,0.68
8.921,7.616,9.571,0.7
9.765,7.593,10.39,0.67
12.129,7.128,12.713,0.62
10.261,6.884,10.88,0.66
7.87,6.716,8.486,0.74
7.773,6.539,8.606,0.8
7.677,6.362,7.858,0.62
14.783,17.929,15.414,0.53
22.038,25.473,23.391,0.54
10.428,7.82,10.328,0.62
12.137,7.702,12.669,0.66
5.666,7.374,5.916,0.73
8.057,7.036,7.509,0.61
5.713,6.788,5.43,0.63
8.292,10.612,8.962,0.55
24.29,28.639,25.797,0.56
3.489,6.78,3.718,0.72
4.802,7.076,4.82,0.66
5.683,7.339,5.557,0.64
5.417,7.397,5.371,0.65
5.994,7.388,5.91,0.62
7.053,7.177,6.752,0.6
3.197,7.078,3.535,0.76
2.433,7.991,3.148,0.83
12.945,16.813,13.61,0.53
25.309,27.945,27.661,0.52
9.552,9.028,4.893,0.65
14.75,8.917,6.511,0.85
14.561,8.828,5.909,0.76
16.215,7.97,6.861,0.69
12.79,7.042,7.392,0.94
