VL1,VL2,VL3,IL1,IL2,IL3,PFL3
261.81,261.3,266.51,52.156,29.854,18.989,0.9
261.21,260.68,265.97,51.66,29.838,18.527,0.9
260.38,260.88,265.76,53.549,28.552,18.389,0.9
260.35,261.35,265.77,53.818,27.606,18.619,0.93
260.53,261.28,266.08,54.169,27.487,17.845,0.9
260.06,261.59,266.05,56.379,27.392,17.627,0.9
259.7,261.52,265.69,57.384,28.906,20.011,0.91
259.74,260.91,265.37,58.872,32.689,24.477,0.95
259.56,261.62,265.91,55.423,28.614,17.478,0.91
259.88,260.78,265.2,53.382,27.414,18.029,0.9
260.03,260.57,265.35,53.481,27.612,17.981,0.9
259.88,260.8,265.07,53.751,27.206,18.731,0.93
260.4,260.71,264.03,54.244,27.353,23.183,0.9
260.04,260.74,265.44,53.886,27.302,18.019,0.91
259.77,260.37,265.24,54.39,27.908,18.215,0.92
259.61,260.25,264.69,53.943,27.947,19.244,0.91
258.77,260.95,264.76,55.007,27.17,17.533,0.91
259.12,260.91,264.57,55.508,27.585,19.342,0.9
259.26,261.5,264.22,55.786,27.2,20.966,0.93
259.34,261.61,265.2,56.486,27.202,18.482,0.92
259.98,260.74,265.61,53.63,27.164,16.486,0.91
259.99,260.69,265.58,53.639,27.179,16.492,0.91
260.21,260.71,265.65,53.307,27.197,16.547,0.91
260.81,261,265.81,52.179,27.459,17.037,0.91
260.87,260.99,265.76,51.779,27.19,16.568,0.91
260.45,260.36,264.82,52.236,27.412,18.074,0.9
259.99,261.14,263.93,56.731,27.948,22.405,0.92
259.75,261.35,264.91,57.039,27.165,18.072,0.9
259.45,261.09,265.05,56.991,27.772,17.388,0.9
259.18,260.97,264.98,56.661,27.157,16.805,0.91
260.58,260.92,265.62,53.94,27.174,16.446,0.91
261.45,261.33,265.98,51.503,27.168,16.504,0.91
261.65,261.45,266.19,51.472,27.199,16.483,0.91
262.03,261.75,266.06,51.451,27.192,18.103,0.91
262,261.79,265.89,51.702,27.186,18.885,0.91
262.05,262.12,266.33,53.314,27.172,17.296,0.9
261.39,261.99,266.25,54.78,28.198,16.586,0.91
261.39,262.84,266.06,56.706,27.175,17.568,0.9
261.46,262.84,266.07,56.519,27.164,17.518,0.9
261.64,262.67,266.03,54.386,27.152,17.443,0.9
262.01,262.7,265.82,53.36,27.155,18.968,0.93
263.09,262.51,266.69,51.367,27.135,17.006,0.9
262.92,262.33,266.26,51.818,27.128,17.583,0.89
262.15,261.72,265.73,53.774,27.426,18.143,0.9
262.22,262.03,266.24,53.088,27.118,16.438,0.9
262.29,262.11,266.32,52.997,27.109,16.32,0.9
261.92,261.63,265.9,52.868,28.299,16.486,0.91
260.54,261.65,265.52,56.343,31.769,17.152,0.92
260.84,261.9,265.11,55.829,30.971,19.134,0.92
260.88,261.7,265.2,54.915,29.262,17.778,0.91
261.41,262.18,265.24,54.891,27.095,18.147,0.89
262.63,262.08,265.8,53.425,27.098,18.022,0.89
262.72,262.3,266.16,53.521,27.113,17.416,0.9
262.19,261.85,266.13,53.434,27.088,16.447,0.91
261.54,261.25,265.59,52.9,27.1,16.395,0.91
262.01,261.38,265.53,51.564,27.096,16.855,0.92
262.35,261.72,265.54,51.593,27.107,18.023,0.93
261.61,261.86,265.82,53.673,27.101,16.408,0.91
261.16,262.16,265.81,55.759,27.106,16.454,0.91
261.14,262.13,265.17,56.798,27.113,18.626,0.89
261.13,262.32,265.24,56.713,27.138,18.602,0.89
261.8,261.94,265.41,54.766,27.146,17.966,0.9
262.39,261.86,265.93,52.719,27.156,16.868,0.91
262.77,262.3,265.76,51.606,27.165,18.445,0.93
262.53,262.03,266.19,51.549,27.162,16.433,0.91
261.95,261.55,265.72,51.519,27.148,16.404,0.91
261.54,261.33,265.62,52.669,27.136,16.378,0.91
261.33,261.56,265.53,53.897,27.119,16.711,0.91
