IL1,IL2,IL3,PF
55.577,31.808,23.569,0.95
51.327,27.071,17.316,0.9
52.815,27.089,16.324,0.91
54.591,27.21,16.619,0.91
56.474,27.113,18.274,0.93
56.284,27.098,16.285,0.91
54.701,27.1,17.337,0.9
53.154,27.101,17.375,0.9
51.487,27.085,18.296,0.89
51.311,27.078,17.895,0.89
51.229,27.072,17.074,0.9
51.341,27.09,17.308,0.93
53.641,29.38,16.487,0.92
56.115,27.073,15.777,0.92
56.135,27.054,15.796,0.92
55.845,27.073,15.886,0.91
54.059,27.078,16.001,0.91
51.233,27.08,18.057,0.89
51.851,27.474,18.906,0.9
51.871,27.062,18.696,0.92
53.878,27.51,18.016,0.92
53.662,27.33,17.009,0.91
59.506,34.356,26.354,0.95
54.339,27.352,17.342,0.91
54.69,27.212,16.934,0.91
54.229,27.04,15.51,0.92
54.486,27.256,16.008,0.92
53.252,27.043,19.749,0.92
53.563,27.057,24.739,0.91
55.477,28.557,20.245,0.92
54.056,27.497,21.392,0.93
54.908,28.795,22.477,0.94
52.075,27.503,18.651,0.92
52.782,27.989,20.125,0.93
54.093,27.038,20.231,0.95
55.734,29.012,18.047,0.94
57.043,27.638,17.728,0.93
57.129,27.799,18.037,0.93
54.194,27.785,18.012,0.93
55.655,29.495,21.583,0.93
56.756,33.384,26.069,0.95
51.598,27.826,18.569,0.9
44.63,23.265,16.695,0.9
34.176,13.282,9.357,0.75
45.673,14.216,10.384,0.78
47.577,13.879,8.309,0.7
42.224,13.635,9.442,0.76
33.355,15.671,12.746,0.88
16.811,13.775,10.914,0.77
14.007,13.93,11.058,0.78
13.843,13.804,15.404,0.9
17.048,17.908,17.708,0.93
16.523,14.767,18.237,0.92
16.94,15.298,14.456,0.84
15.149,17.086,12.804,0.81
17.437,18.948,12.32,0.8
17.572,17.507,12.911,0.82
17.675,17.786,13.204,0.83
16.783,18.902,14.517,0.86
13.9,17.613,16.91,0.84
14.399,18.719,16.444,0.82
14.744,19.724,12.18,0.8
15.02,19.463,13.065,0.82
14.294,18.953,12.971,0.84
19.112,17.482,10.242,0.8
19.239,20.268,13.412,0.86
16.132,18.773,13.363,0.87
16.883,18.936,11.019,0.84
15.851,21.391,9.917,0.81
15.789,22.28,11.914,0.84
14.772,20.381,11.807,0.85
13.753,19.135,12.457,0.84
14.032,20.457,12.852,0.84
13.516,21.187,11.735,0.79
13.339,17.539,13.85,0.83
16.091,18.41,19.269,0.83
18.585,18.26,11.331,0.81
19.03,18.27,11.26,0.81
18.082,17.814,10.997,0.8
17.959,20.895,10.203,0.78
12.56,17.109,9.699,0.76
13.237,19.298,11.202,0.78
15.677,22.113,13.927,0.83
15.284,19.676,13.625,0.81
22.284,27.48,22.296,0.93
14.939,18.251,12.075,0.79
18.096,18.469,10.587,0.78
16.836,18.096,10.07,0.77
17.646,18.792,10.673,0.79
15.956,22.911,9.807,0.74
18.074,22.449,12.095,0.79
18.258,23.449,15.27,0.87
17.301,19.421,11.204,0.8
16.274,17.976,11.273,0.8
15.573,18.019,11.021,0.78
14.717,18.513,11.653,0.8
17.753,18.071,12.312,0.82
18.517,17.117,10.445,0.78
21.366,20.222,13.067,0.83
20.276,17.482,11.242,0.79
18.185,18.484,14.042,0.87
16.697,20.847,11.775,0.83
17.109,19.862,12.346,0.84
14.797,19.331,14.713,0.82
16.313,20.627,17.957,0.86
15.22,22.409,12.782,0.83
17.489,18.152,13.066,0.81
21.684,19.791,14.144,0.82
23.775,26.448,20.831,0.92
21.269,22.753,15.912,0.9
18.145,19.575,13.529,0.86
14.166,17.655,11.784,0.83
13.795,16.195,10.78,0.81
16.337,13.967,13.894,0.84
15.156,13.162,14.481,0.85
17.692,12.587,12.73,0.81
22.796,12.784,12.582,0.79
24.392,12.95,13.093,0.82
24.777,13.065,14.151,0.86
26.239,16.543,13.68,0.85
21.237,13.493,10.997,0.81
14.878,12.067,9.842,0.77
17.507,16.365,11.287,0.79
16.092,12.644,11.149,0.77
16.855,12.056,11.053,0.76
19.179,16.249,13.026,0.8
26.799,16.496,11.323,0.78
26.697,17.664,15.503,0.88
29.941,14.458,11.76,0.8
21.536,12.834,10.561,0.8
19.379,12.109,9.737,0.77
14.576,11.559,8.923,0.72
17.51,12.567,11.712,0.78
22.52,20.784,18.539,0.92
18.556,14.203,10.396,0.75
16.21,11.005,8.898,0.72
23.339,11.358,10.708,0.78
23.099,13.147,13.445,0.85
20.208,14.025,11.01,0.78
17.884,16.277,10.082,0.76
20.56,20.469,10.803,0.81
14.962,16.88,10.384,0.76
14.806,17.302,10.146,0.73
15.862,22.424,11.395,0.77
16.57,23.276,11.161,0.8
16.541,26.791,9.809,0.77
16.245,25.87,12.339,0.85
14.243,26.33,9.977,0.74
14.714,27.725,10.686,0.76
16.213,24.776,11.196,0.77
18.202,23.533,13.238,0.83
17.621,24.905,12.591,0.8
14.927,23.102,10.702,0.73
15.073,21.261,10.328,0.74
17.462,23.008,12.477,0.83
22.282,28.735,19.315,0.93
15.305,21.389,10.925,0.8
16.276,21.943,11.249,0.78
15.693,21.062,11.009,0.75
16.09,20.678,10.711,0.71
19.638,24.706,12.771,0.75
18.237,22.488,12.582,0.77
15.09,21.191,10.897,0.72
15.566,18.1,12.743,0.78
15.888,16.322,14.449,0.81
15.58,20.12,9.987,0.79
17.58,20.614,12.477,0.86
21.668,20.657,12.562,0.81
21.421,19.021,12.5,0.78
22.16,18.258,13.527,0.79
21.888,17.84,11.19,0.73
22.897,19.132,10.829,0.72
18.198,14.602,10.943,0.81
17.191,11.827,9.585,0.77
16.388,12.113,8.411,0.72
15.596,12.294,10.875,0.84
19.929,16.52,15.757,0.86
23.457,16.632,16.232,0.87
23.58,11.855,12.902,0.75
24.078,11.699,12.465,0.74
23.952,11.88,11.71,0.75
23.109,12.661,10.902,0.74
16.366,14.888,10.68,0.76
17.458,16.693,9.432,0.71
14.066,14.512,10.866,0.77
18.66,14.468,12.891,0.82
49.601,30.046,15.609,0.87
53.672,29.239,17.346,0.89
57.051,29.208,17.321,0.91
59.28,30.724,21.157,0.92
58.082,29.898,19.224,0.91
58.223,30.109,19.547,0.92
55.395,32.524,17.415,0.91
53.649,31.95,18.214,0.92
53.184,32.64,19.622,0.92
54.865,33.457,20.045,0.92
52.896,29.247,17.204,0.91
55.69,30.206,18.569,0.92
58.593,29.887,18.423,0.92
59.353,30.975,20.508,0.92
57.031,29.199,17.541,0.9
58.074,28.55,18.331,0.9
53.852,26.931,19.617,0.91
53.21,28.509,19.569,0.91
52.938,27.675,18.543,0.9
58.684,34.076,26.592,0.95
54.037,26.967,16.962,0.91
55.25,27.669,18.161,0.91
56.389,27.263,16.438,0.91
57.981,27.51,17.332,0.91
57.406,27.189,17.304,0.9
55.773,27.368,19.741,0.92
54.117,27.35,18.307,0.89
52.555,27.754,18.28,0.89
52.259,27.197,15.831,0.91
53.828,26.95,15.691,0.91
53.77,26.949,15.712,0.91
54.818,27.62,17.479,0.91
55.499,27.756,16.993,0.9
56.507,27.294,17.679,0.9
54.994,26.989,16.561,0.9
55.48,27.317,19.785,0.93
54.581,26.904,16.699,0.9
53.487,26.909,16.517,0.89
53.739,26.983,16.13,0.9
53.933,27.334,15.892,0.9
53.735,27.063,16.342,0.9
53.087,26.903,16.775,0.89
51.861,26.901,16.716,0.89
55.585,27.207,16.224,0.91
54.939,26.907,17.581,0.93
56.054,26.891,16.007,0.9
56.788,26.882,16.603,0.89
54.409,26.843,16.557,0.9
53.538,26.831,16.696,0.9
53.522,26.826,17.063,0.89
51.66,26.825,16.822,0.89
51.555,26.836,16.461,0.9
