VL1,VL2,VL3,IL1,IL2,IL3,PFL3
129.33,128.51,126.97,12.629,11.608,33.701,0.98
128.97,128.27,126.48,13.54,11.764,34.184,0.97
128.42,128.68,126.18,13.347,11.746,33.975,0.98
127.95,128.93,126.72,17.694,11.76,34.059,0.97
128,128.87,126.04,21.194,11.88,33.997,0.98
127.64,129.14,126.33,18.915,11.091,32.799,0.99
126.65,129.65,126.51,20.036,6.723,33.233,0.98
126.84,129.84,125.86,21.687,6.846,34.216,0.98
127.79,128.81,125.67,20.44,19.215,40.189,0.91
128.3,127.68,126.07,21.512,23.402,42.244,0.9
128.88,128.8,126.44,11.159,6.631,32.651,0.98
128.51,129.22,126.45,11.22,6.7,32.639,0.98
128.53,129.09,126.86,13.025,6.599,33.622,0.98
128.81,129.54,126,12.212,6.731,33.096,0.98
129.06,129.08,126.64,11.118,6.641,32.592,0.98
129.17,129.23,126.73,11.102,6.588,32.573,0.98
129.24,129.15,126.41,12.164,6.662,33.113,0.98
128.95,129.55,126.21,12.963,6.768,33.462,0.98
128.35,128.91,126.15,23.904,24.319,44.019,0.88
129.02,129.57,126.15,20.559,20.105,41.349,0.91
129.22,129.65,125.98,11.075,6.724,32.437,0.98
128.76,129.43,126.74,11.928,6.485,32.895,0.98
129.03,129.73,126.54,11.123,6.501,32.5,0.98
129.43,129.89,126.28,11.616,6.529,32.747,0.98
129.15,129.39,126.59,11.085,6.395,32.496,0.98
128.89,129.69,126.48,11.127,6.484,32.502,0.98
128.93,129.97,126.28,11.117,6.373,32.479,0.98
129.54,129.77,126.61,13.79,10.448,34.295,0.96
128.39,128.94,126,25.257,28.965,46.261,0.87
128.82,129.48,126.08,12.017,6.288,32.853,0.98
128.98,129.43,125.78,11.088,6.26,32.361,0.98
128.65,129.37,126.48,12.559,6.328,33.153,0.98
128.7,129.13,126.18,12.313,6.22,33.083,0.98
128.13,129.74,126.16,11.186,6.314,32.38,0.98
129.08,129.67,126.51,11.07,6.302,32.389,0.98
128.92,129.56,126.75,11.461,6.281,32.58,0.98
128.82,129.59,126.05,12.721,6.29,33.203,0.98
128.1,128.75,125.63,21.703,24.011,42.218,0.89
128.73,128.87,126.54,17.977,18.453,38.404,0.92
128.75,129.49,126.32,11.099,6.222,32.399,0.98
129.08,129.55,126.47,11.062,6.273,32.41,0.98
128.7,129.87,126.88,11.101,6.305,32.444,0.98
129.36,129.19,126.82,11.029,6.16,32.478,0.98
129.12,129.47,126.26,11.053,6.312,32.423,0.98
128.94,129.39,126.59,11.078,6.211,32.476,0.98
128.25,129.52,126.71,11.182,6.209,32.507,0.98
128.61,129.56,125.94,11.124,6.269,32.437,0.98
127.9,127.17,125.32,26.601,29.478,47.807,0.86
128.8,129.07,126.63,11.101,6.157,32.456,0.98
128.34,129.62,126.21,13.131,6.326,32.444,0.98
127.87,129.77,126.75,18.949,6.348,32.465,0.98
127.9,129.65,127.02,18.893,6.588,32.466,0.98
127.62,129.95,126.98,18.895,6.792,32.452,0.98
