IL1,IL2,IL3,PF
14.027,4.408,16.144,0.87
13.644,4.44,17.982,0.88
14.37,5.265,15.928,0.86
13.494,4.41,14.571,0.88
14.559,4.865,16.283,0.86
13.515,7.676,20.938,0.88
13.46,4.389,14.549,0.88
13.503,6.743,15.563,0.88
14.723,4.357,16.173,0.86
13.869,4.379,19.232,0.87
13.867,4.336,15.43,0.87
18.893,6.605,17.639,0.91
18.401,6.506,17.305,0.91
16.541,4.386,22.093,0.85
16.642,4.373,19.777,0.85
18.283,5.715,19.139,0.88
19.994,6.995,19.027,0.91
16.098,5.789,16.372,0.9
13.116,4.423,14.887,0.89
13.612,4.428,19.883,0.88
15.889,5.157,28.664,0.89
25.464,13.849,23.414,0.91
28.118,12.209,26.707,0.87
16.883,6.017,32.847,0.9
16.129,7.545,18.798,0.91
17.809,6.677,19.501,0.91
16.188,6.311,17.926,0.9
15.895,5.516,20.304,0.9
16.512,5.465,17.223,0.9
17.98,8.319,13.897,0.88
19.946,12.406,6.586,0.7
16.618,9.416,11.26,0.67
9.42,1.792,8.643,0.53
10.167,3.431,4.209,0.65
10.018,2.931,10.533,0.55
11.745,4.124,9.537,0.69
12.838,5.939,5.723,0.75
16.152,9.081,8.476,0.69
20.253,12.105,5.805,0.71
11.299,4.238,4.55,0.6
9.181,0.668,8.959,0.54
9.26,0.765,3.412,0.55
9.508,0.705,9.102,0.58
9.838,3.189,11.809,0.57
8.81,2.204,7.11,0.56
11.595,3.088,5.697,0.58
22.137,12.109,9.31,0.7
17.048,8.181,7.844,0.68
11.426,1.406,5.327,0.59
11.533,0.903,9.937,0.59
12.151,3.394,7.689,0.65
10.9,4.151,5.974,0.63
10.679,2.85,9.378,0.58
9.434,0.909,6.812,0.55
10.254,3.08,5.184,0.54
10.834,3.096,10.843,0.55
10.603,2.094,6.62,0.59
10.242,2.027,3.816,0.58
10.078,2.708,10.213,0.53
13.951,7.389,7.188,0.63
22.741,12.416,10,0.69
15.496,6.172,10.918,0.64
10.076,3.538,5.335,0.54
9.917,2.799,7.326,0.55
10.596,2.38,9.667,0.58
11.393,1.724,5.095,0.56
10.337,1.008,8.057,0.55
10.705,1.613,8.616,0.57
10.49,1.598,4.54,0.56
9.31,1.08,7.808,0.58
9.612,0.896,9.623,0.59
20.993,11.659,10.002,0.71
17.291,8.553,11.316,0.67
10.854,1.469,9.747,0.59
9.47,2.087,5.486,0.6
9.588,2.196,10.256,0.55
10.229,2.835,11.155,0.54
11.051,3.192,5.796,0.6
11.098,3.02,7.273,0.67
11.284,3.117,9.435,0.68
12.038,1.757,7.589,0.58
11.336,1.658,7.134,0.56
11.899,5.95,9.984,0.63
22.389,12.421,8.941,0.69
13.823,5.575,4.957,0.61
