IL1,IL2,IL3,PF
0,15.38,0,0.82
0,15.394,0,0.83
0,15.392,0,0.83
0,16.541,0,0.85
0,15.383,0,0.82
0,15.38,0,0.82
0,15.379,0,0.82
0,15.379,0,0.82
0,15.378,0,0.82
0,15.378,0,0.82
0,16.526,0,0.85
0,15.378,0,0.82
0,16.059,3.476,0.84
0,15.378,0,0.82
0,18.014,7.031,0.87
0,15.379,0,0.82
0,15.681,0,0.83
0,16.205,0,0.84
0,15.379,0,0.82
0,15.38,0,0.82
0,15.382,0,0.82
10.258,20.457,12.061,0.86
14.82,24.714,18.072,0.88
14.018,27.924,18.679,0.9
8.402,21.107,14.143,0.87
0,15.997,7.093,0.83
0,17.976,11.138,0.86
0,22.559,12.524,0.91
0,19.669,11.425,0.89
0,19.687,12.897,0.89
0,23.04,12.178,0.92
0,20.351,11.404,0.9
0,19.78,11.099,0.89
0,19.755,11.076,0.89
0,19.748,11.046,0.89
1.222,20.156,13.93,0.89
0,21.644,11.343,0.91
1.709,21.789,15.001,0.91
0,19.891,11.295,0.89
0,17.253,8.826,0.86
0,14.886,5.054,0.83
2.298,14.907,9.222,0.83
2.038,13.606,7.807,0.8
1.05,15.282,4.113,0.85
0,13.931,2.918,0.81
0,13.711,2.169,0.8
0,20.267,12.101,0.9
0,19.197,12.954,0.89
0,16.883,12.891,0.86
1.017,19.389,15.969,0.89
0,20.268,20.567,0.9
1.067,20.252,17.72,0.9
0,18.816,16.34,0.89
0,18.778,15.575,0.93
0,17.782,14.428,0.87
0,16.83,14.129,0.85
0,16.86,14.442,0.85
0,16.375,13.826,0.85
1.083,18.357,17.201,0.88
0,17.996,13.904,0.88
1.08,15.56,16.892,0.83
0,19.561,16.387,0.89
0,20.023,16.292,0.9
0,17.759,15.603,0.87
0,15.138,12.376,0.83
0,14.82,12.911,0.82
10.671,23.625,21.595,0.87
12.826,30.107,28.534,0.9
11.192,25.996,23.111,0.9
6.651,21.633,19.771,0.89
0,16.512,15.762,0.85
0,18.486,15.919,0.88
0,24.131,18.399,0.93
0,18.868,15.325,0.89
0,22.128,15.887,0.92
0,18.556,15.11,0.88
0,20.614,16.6,0.9
0,19.269,15.431,0.88
1.062,23.119,22.002,0.91
0.973,20.15,19.938,0.89
1.421,19.197,19.307,0.89
0,15.734,13.492,0.84
0,17.868,14.85,0.87
0.984,23.107,23.459,0.92
0,22.75,20.28,0.91
0,24.059,17.739,0.93
1.028,17.929,20.984,0.88
0,18.004,15.142,0.88
0,13.184,16.962,0.9
0.917,2.497,16.451,0.88
0,0,14.28,0.76
0,1.451,13.899,0.63
0,6.733,16.904,0.97
0,18.202,16.152,0.87
0,3.696,14.301,0.82
1.05,6.718,15.959,0.94
0,6.541,14.79,0.91
0,11.576,13.327,0.8
1.039,1.497,15.743,0.72
1.05,6.434,18.132,0.94
1.812,0.977,17.779,0.6
0,1.468,15.006,0.78
1.039,2.247,16.664,0.94
0.962,8.814,17.218,0.93
0,6.011,20.763,0.95
0,1.397,15.337,0.68
0,1.452,15.592,0.68
0,1.468,13.99,0.74
1.407,7.769,23.158,0.94
0,1.413,18.035,0.72
0,2.384,15.586,0.82
12.844,17.032,25.978,0.83
11.21,15.349,23.729,0.79
11.387,17.325,25.568,0.82
0,6.666,21.429,0.94
0,1.777,15.573,0.75
0,1.509,15.167,0.71
0,1.021,14.279,0.73
1.028,9.157,21.925,0.95
0.962,5.932,17.938,0.93
1.013,1.409,21.875,0.61
0,2.136,16.449,0.9
0.995,3.207,16.356,0.85
0,5.299,14.622,0.95
1.469,2.546,18.65,0.9
1.06,1.043,17.174,0.74
0,6.152,19.626,0.96
0.984,8.724,25.686,0.95
1.017,4.645,20.351,0.91
0.962,4.135,18.139,0.92
1.017,1.75,18.906,0.63
0,1.514,18.367,0.67
0,9.741,17.972,0.94
0.94,5.306,16.736,0.93
0,1.069,14.237,0.66
1.446,4.676,15.221,0.92
1.006,8.204,19.991,0.94
1.401,7.116,17.063,0.96
0,2.829,14.183,0.89
0,8.297,17.256,0.94
1.017,1.358,17.137,0.71
0,0,13.925,0.69
1.028,0,15.133,0.72
0,0,15.166,0.75
1.415,1.382,19.329,0.68
1.511,7.085,20.591,0.91
0.962,1.389,15.18,0.66
0,1.032,14.482,0.76
0.94,2.938,14.538,0.85
1.05,7.134,13.765,0.9
1.061,9.769,16.188,0.93
0,6.142,15.376,0.88
0,5.971,13.903,0.9
0,7.091,13.816,0.89
8.604,19.131,22.367,0.84
12.139,16.021,20.448,0.74
11.748,20.32,21.832,0.82
6.501,12.361,14.994,0.81
0,6.149,7.906,0.88
1.061,7.184,10.534,0.89
0.984,6.037,11.681,0.89
1.028,6.925,10.41,0.89
0,14.944,8.797,0.9
1.039,19.755,12.603,0.89
0,17.86,13.381,0.87
0,17.549,10.531,0.87
0,19.358,9.823,0.89
0,15.729,4.912,0.85
1.017,15.291,7.595,0.84
0,17.316,10.214,0.87
1.724,15.232,8.436,0.83
1.738,17.54,14.555,0.88
0,18.023,11.167,0.88
1.245,23.261,14.197,0.89
7.979,24.714,18.89,0.91
7.744,24.66,17.961,0.9
4.341,24,14.963,0.9
2.752,26.364,15.301,0.92
7.215,25.316,17.649,0.91
0,26.813,12.903,0.92
0,27.509,12.435,0.92
0,24.623,11.69,0.9
0,26.062,12.316,0.92
0,25.095,11.899,0.91
2.63,24.265,12.071,0.9
7.781,25.414,16.147,0.91
0,28.653,13.181,0.93
5.458,26.987,14.474,0.92
0,26.353,12.787,0.91
0,24.207,11.606,0.9
0,26.269,12.491,0.92
10.523,26.847,15.941,0.9
17.484,34.951,21.537,0.93
17.574,34.669,21.477,0.93
13.806,32.335,19.157,0.92
5.645,26.425,14.571,0.92
1.787,27.27,12.834,0.92
1.98,26.637,12.743,0.92
0,26.923,12.515,0.92
0,25.724,11.526,0.91
0,25.235,11.819,0.91
5.408,24.01,13.4,0.9
0,23.144,10.966,0.89
0,23.347,11.044,0.9
1.509,23.157,11.105,0.9
1.281,24.613,11.678,0.91
0,25.443,11.454,0.91
5.19,23.604,13.099,0.9
3.654,24.037,12.411,0.9
0,25.826,12.09,0.92
1.81,24.501,11.738,0.91
0,23.586,11.256,0.9
0,25.146,11.338,0.91
3.979,23.851,12.619,0.9
0,23.124,10.804,0.9
2.698,25.414,12.765,0.91
0,23.754,11.372,0.9
0,26.208,13.253,0.92
0,22.476,10.857,0.89
5.103,24.17,13.343,0.91
0,20.354,13.403,0.88
0,15.44,0,0.82
0,16.596,4.803,0.84
0,16.696,4.92,0.84
0,15.396,0,0.82
1.127,16.416,5.814,0.84
0,16.007,3.035,0.83
0,15.379,0,0.82
1.186,16.101,8.449,0.83
0,15.365,0,0.82
0,17.038,5.717,0.85
0,15.665,2.281,0.82
0,16.452,0,0.84
0,15.378,0,0.82
0,15.381,0,0.82
0,16.538,4.663,0.84
0,15.374,0,0.82
1.127,15.971,6.869,0.83
0,16.135,4.534,0.84
0,17.272,4.299,0.86
7.015,17.894,8.094,0.84
13.862,24.597,16.665,0.89
13.561,24.507,16.595,0.88
10.626,21.527,13.164,0.87
0,15.899,3.088,0.83
0,16.411,0,0.85
0,15.208,0,0.82
0,15.302,0,0.82
0,15.247,0,0.83
0,15.313,0,0.82
0,15.359,0,0.82
0,15.357,0,0.82
0,17.303,3.951,0.86
0,15.338,0,0.82
0,15.363,0,0.82
0,15.949,3.321,0.84
0,17.414,5.922,0.86
0,16.023,3.676,0.84
0,15.257,0,0.83
0,16.454,0,0.85
0,16.004,3.52,0.84
0,15.339,0,0.82
0,15.35,0,0.82
0,15.307,0,0.83
0,15.372,0,0.82
1.179,15.378,11.815,0.82
0,16.45,5.674,0.85
0,15.343,0,0.82
0,15.371,0,0.82
0,15.375,0,0.82
0,15.372,0,0.82
0,15.363,0,0.82
2.537,16.196,4.475,0.84
3.024,16.397,5.053,0.84
1.141,15.444,1.954,0.82
0,15.315,0.528,0.82
0,15.308,0,0.82
0,15.372,0,0.82
0,15.378,0,0.82
0,16.173,0,0.84
0,15.767,0,0.83
0,15.379,0,0.82
0,15.379,0,0.82
0,15.38,0,0.83
0,19.597,9.209,0.89
0,15.366,0,0.82
1.182,15.892,5.539,0.84
0,16.072,0,0.84
0,15.38,0,0.83
1.998,15.572,3.523,0.82
2.767,15.653,8.033,0.83
0,15.521,4.137,0.82
12.806,22.777,15.495,0.87
13.762,24.013,16.843,0.88
13.598,25.054,16.646,0.89
4.353,16.817,5.97,0.84
0,16.952,5.19,0.85
0,15.351,0,0.82
0,15.365,0,0.82
0,15.285,0,0.82
0,15.226,0,0.82
0,16.405,0,0.85
0,15.235,0,0.83
0,15.226,0,0.83
1.196,15.328,5.405,0.82
0,15.373,0,0.82
0,15.369,0,0.83
1.116,16.575,4.933,0.85
2.5,17.196,5.092,0.86
1.902,15.441,3.165,0.82
0,15.234,0,0.83
0,15.595,2.359,0.83
0,15.333,0,0.82
0,15.359,0,0.82
0,17.162,4.228,0.86
0,23.097,9.449,0.91
0,23.289,12.379,0.9
0,24.354,11.752,0.91
6.138,23.756,14.375,0.9
8.83,24.346,16.882,0.91
0.553,23.889,11.668,0.9
